"c05de1f","chenhongfeng","2019-07-12 10:58:17 +0800","最后"
"0791d9d","chenhongfeng","2019-07-12 09:44:16 +0800","增添以前的文档"
"073f235","dpqwh","2019-07-12 09:28:14 +0800","更正用户手册"
"d9fcbc3","1181982080@qq.com","2019-07-12 09:18:40 +0800","Create 软件测试说明书.docx"
"7272749","chenhongfeng","2019-07-12 08:38:29 +0800","完善"
"a47c146","chenhongfeng","2019-07-12 08:18:59 +0800","用户手册添加"
"8a01f10","longxianghe","2019-07-12 01:41:11 +0800","完善测试说明 -何龙翔"
"afb7ac7","Lucaslee-114","2019-07-12 01:33:54 +0800","李成蹊对测试说明书，报告，用户手册的修改"
"a3cb9f9","yangyangwahaha","2019-07-12 01:18:45 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"fe3cb17","yangyangwahaha","2019-07-12 01:18:17 +0800","Update 用户手册未完成.docx"
"9e234c0","dpqwh","2019-07-12 01:13:20 +0800","增加登陆模块的用户手册"
"d9b8282","chenhongfeng","2019-07-12 01:07:47 +0800","陈红峰"
"307d716","yangyangwahaha","2019-07-11 23:13:47 +0800","Update 软件设计说明书.docx"
"99fe16d","yangyangwahaha","2019-07-11 23:10:13 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"5ee5065","yangyangwahaha","2019-07-11 23:09:52 +0800","Update 功能细分4.0.docx"
"add7612","dpqwh","2019-07-11 23:09:17 +0800","增加登陆模块测试结果概述"
"0dca623","dpqwh","2019-07-11 23:00:08 +0800","增加登陆模块测试结果"
"ac6e15c","cyx0203","2019-07-11 22:46:48 +0800","Update 用户手册未完成.docx"
"b474006","cyx0203","2019-07-11 22:41:54 +0800","修改文档"
"199afce","dpqwh","2019-07-11 22:41:26 +0800","增加登陆模块的用户手册"
"306dabe","dpqwh","2019-07-11 22:36:18 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"f2d49fd","dpqwh","2019-07-11 22:35:44 +0800","增加登陆模块测试结果"
"b93563c","yangyangwahaha","2019-07-11 22:35:08 +0800","Update 软件需求规格说明书.docx"
"6dec485","yangyangwahaha","2019-07-11 22:31:14 +0800","Update 功能细分4.0.docx"
"7a3ca91","yangyangwahaha","2019-07-11 22:25:50 +0800","Update 用户手册未完成.docx"
"b9add1b","cyx0203","2019-07-11 22:21:04 +0800","完善文档"
"21e19f1","yangyangwahaha","2019-07-11 21:06:11 +0800","Update 软件测试报告未完成.docx"
"a25f449","1181982080@qq.com","2019-07-11 20:15:18 +0800","Update 软件需求规格说明书.docx"
"fa6a2ba","1181982080@qq.com","2019-07-11 20:06:51 +0800","Update 软件设计说明书.docx"
"5941950","longxianghe","2019-07-11 19:37:16 +0800","功能细分、设计说明以及需求规格说明书做了相应的修改 何龙翔"
"b44fa70","1181982080@qq.com","2019-07-11 19:15:14 +0800","Update 软件设计说明书.docx"
"c5423a2","1181982080@qq.com","2019-07-11 19:11:57 +0800","Update 功能细分4.0.docx"
"24921ff","1181982080@qq.com","2019-07-11 19:05:23 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"a7db1f0","1181982080@qq.com","2019-07-11 19:04:25 +0800","薛金龙修改3.12需求功能说明"
"61f01b8","Lucaslee-114","2019-07-11 19:02:00 +0800","李成蹊对功能细分 软件设计 需求规格的修改"
"3df5f76","Lucaslee-114","2019-07-11 19:00:08 +0800","李成蹊对功能细分 开发计划 需求规格的修改"
"a017e84","dingyanweidada","2019-07-11 18:43:51 +0800","“添加丁严威对文档的补充”"
"25e6d43","chenhongfeng","2019-07-11 16:44:10 +0800","增加版本说明"
"2252648","dingyanweidada","2019-07-11 16:12:12 +0800","“添加丁严威对文档的补充”"
"233b38b","longxianghe","2019-07-11 15:13:01 +0800","完善了测试报告和用户手册 --何龙翔"
"861cf1c","1181982080@qq.com","2019-07-11 11:25:46 +0800","薛金龙添加用户手册3.12"
"59e9de8","xutaige","2019-07-11 11:23:35 +0800","Update 软件测试说明书1.0.docx"
"4c69951","xutaige","2019-07-11 11:19:11 +0800","Update 软件测试报告未完成.docx"
"b9c61b9","yangyangwahaha","2019-07-11 10:46:30 +0800","Update 软件测试报告未完成.docx"
"936f57d","yangyangwahaha","2019-07-11 10:43:29 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"eeeddc2","yangyangwahaha","2019-07-11 10:43:24 +0800","Update 软件测试说明书1.0.docx"
"fa736ea","1181982080@qq.com","2019-07-11 10:18:53 +0800","薛金龙完善2.12 3.12"
"20daa3b","1181982080@qq.com","2019-07-11 10:05:22 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"61fc8ad","yangyangwahaha","2019-07-11 10:03:48 +0800","Update 软件测试说明书1.0.docx"
"454da83","1181982080@qq.com","2019-07-11 10:03:46 +0800","薛金龙添加2.12 3.12"
"a2b7885","1181982080@qq.com","2019-07-11 09:57:57 +0800","薛金龙完善3.12"
"ad340d0","dpqwh","2019-07-11 09:48:41 +0800","Update 软件测试说明书1.0.docx"
"824518c","lzh-gethub","2019-07-11 09:32:42 +0800","Merge branch 'document' of https://github.com/secondhand-transaction/university into document"
"8ed2a0c","lzh-gethub","2019-07-11 09:32:12 +0800","刘子豪对软件测试说明书的修改"
"f8392ed","chenhongfeng","2019-07-10 19:46:58 +0800","整理文档"
"d1a6639","chenhongfeng","2019-07-10 18:38:05 +0800","添加空文档"
"9a50145","longxianghe","2019-07-10 16:50:31 +0800","Update 软件测试说明书1.0.docx"
"f9e7f80","Lucaslee-114","2019-07-10 16:47:22 +0800","Update 软件测试说明书1.0.docx"
"c6842f5","1181982080@qq.com","2019-07-10 10:52:55 +0800","薛金龙添加1234"
"fa65eec","yangyangwahaha","2019-07-10 10:21:10 +0800","Update 软件测试说明书1.0.docx"
"37d7535","lzh-gethub","2019-07-09 19:30:03 +0800","刘子豪提交软件测试说明书"
"03abf8d","cyx0203","2019-07-09 17:33:26 +0800","Update 软件测试说明书1.0.docx"
"5968d3f","1181982080@qq.com","2019-07-09 16:39:41 +0800","薛金龙添加测试用例3.12"
"c002f78","yangyangwahaha","2019-07-09 15:49:33 +0800","Create 软件测试说明书1.0.docx"
"15a52a1","chenhongfeng","2019-07-05 14:47:23 +0800","陈红峰对软件计划说明书的整理"
